0.2 < L < 0.25 (in m),0.015 < D < 0.02 (in m),5490.0 < P_allowable < 27130.0 (in kN),Max. objective = P_allowable / Volume = P/(D*D*L)
0.2,0.015,8571.208324218747,190471296.09374997
0.2,0.015099999999999999,8802.069710484278,193019378.76593742
0.2,0.015199999999999998,9037.563595701755,195584392.21999994
0.2,0.015299999999999998,9277.751540194076,198166336.45593742
0.2,0.015399999999999997,9522.6955106229,200765211.47374985
0.2,0.015499999999999996,9772.457879988662,203381017.27343738
0.2,0.015599999999999996,10027.101427630549,206013753.85499987
0.2,0.015699999999999995,10286.68933922652,208663421.21843734
0.2,0.015799999999999995,10551.285206793293,211330019.36374977
0.2,0.015899999999999994,10820.953028686368,214013548.2909374
0.2,0.015999999999999993,11095.757209599984,216714007.99999985
0.2,0.016099999999999993,11375.76256056716,219431398.49093723
0.2,0.016199999999999992,11661.034298959685,222165719.76374975
0.2,0.01629999999999999,11951.638048488105,224916971.8184372
0.2,0.01639999999999999,12247.639839201733,227685154.65499973
0.2,0.01649999999999999,12549.106107488642,230470268.2734372
0.2,0.01659999999999999,12856.10369607568,233272312.67374972
0.2,0.01669999999999999,13168.699854028446,236091287.85593715
0.2,0.01679999999999999,13486.962236751322,238927193.81999964
0.2,0.016899999999999988,13810.958905987443,241780030.56593716
0.2,0.016999999999999987,14140.758329818706,244649798.09374958
0.2,0.017099999999999987,14476.429382665785,247536496.40343708
0.2,0.017199999999999986,14818.041345288111,250440125.4949996
0.2,0.017299999999999986,15165.663904783878,253360685.368437
0.2,0.017399999999999985,15519.367154590056,256298176.02374953
0.2,0.017499999999999984,15879.221594482366,259252597.46093705
0.2,0.017599999999999984,16245.298130575298,262223949.67999944
0.2,0.017699999999999983,16617.66807532212,265212232.68093696
0.2,0.017799999999999983,16996.40314751484,268217446.46374938
0.2,0.017899999999999982,17381.575472284258,271239591.0284369
0.2,0.01799999999999998,17773.257581099922,274278666.37499934
0.2,0.01809999999999998,18171.52241177015,277334672.50343686
0.2,0.01819999999999998,18576.443308442027,280407609.41374934
0.2,0.01829999999999998,18988.094021601395,283497477.1059368
0.2,0.01839999999999998,19406.54870807287,286604275.5799993
0.2,0.01849999999999998,19831.881931019827,289728004.8359368
0.2,0.018599999999999978,20264.168659944407,292868664.8737492
0.2,0.018699999999999977,20703.484270687528,296026255.69343674
0.2,0.018799999999999976,21149.90454542885,299200777.2949992
