0.2 < L < 0.25 (in m),0.015 < D < 0.02 (in m),5490.0 < P_allowable < 27130.0 (in kN),Max. objective = P_allowable / Volume = P/(D*D*L)
0.2,0.015,24856.50414023437,552366758.671875
0.2,0.015099999999999999,25526.002160404405,559756198.4212185
0.2,0.015199999999999998,26208.934427535085,567194737.4379997
0.2,0.015299999999999998,26905.479466562814,574682375.7222184
0.2,0.015399999999999997,27615.816980806416,582219113.2738748
0.2,0.015499999999999996,28340.127851967118,589804950.0929683
0.2,0.015599999999999996,29078.59414012858,597439886.1794994
0.2,0.015699999999999995,29831.3990837569,605123921.5334682
0.2,0.015799999999999995,30598.727099700547,612857056.1548743
0.2,0.015899999999999994,31380.763783190454,620639290.0437182
0.2,0.015999999999999993,32177.695907839938,628470623.1999992
0.2,0.016099999999999993,32989.71142564476,636351055.6237179
0.2,0.016199999999999992,33816.99946698309,644280587.3148744
0.2,0.01629999999999999,34659.7503406155,652259218.2734678
0.2,0.01639999999999999,35518.15553368502,660286948.4994992
0.2,0.01649999999999999,36392.40771171706,668363777.9929678
0.2,0.01659999999999999,37282.70071861946,676489706.753874
0.2,0.01669999999999999,38189.22957668249,684664734.7822177
0.2,0.01679999999999999,39112.19048657883,692888862.0779989
0.2,0.016899999999999988,40051.780827363575,701162088.6412176
0.2,0.016999999999999987,41008.19915647425,709484414.4718739
0.2,0.017099999999999987,41981.64520973078,717855839.5699675
0.2,0.017199999999999986,42972.319901335526,726276363.9354988
0.2,0.017299999999999986,43980.42532387325,734745987.5684674
0.2,0.017399999999999985,45006.16474831116,743264710.4688736
0.2,0.017499999999999984,46049.742623998856,751832532.6367173
0.2,0.017599999999999984,47111.364578668356,760449454.0719982
0.2,0.017699999999999983,48191.23741843413,769115474.774717
0.2,0.017799999999999983,49289.56912779304,777830594.7448733
0.2,0.017899999999999982,50406.56886962435,786594813.9824672
0.2,0.01799999999999998,51542.446985189774,795408132.4874982
0.2,0.01809999999999998,52697.41499413343,804270550.2599667
0.2,0.01819999999999998,53871.68559448187,813182067.299873
0.2,0.01829999999999998,55065.47266264404,822142683.6072166
0.2,0.01839999999999998,56278.99125341131,831152399.1819979
0.2,0.01849999999999998,57512.45759995749,840211214.0242164
0.2,0.018599999999999978,58766.089113838774,849319128.1338726
0.2,0.018699999999999977,60040.10438499383,858476141.5109665
0.2,0.018799999999999976,61334.72318174366,867682254.1554977
0.2,0.018899999999999976,62650.166450791774,876937466.0674664
0.2,0.018999999999999975,63986.65631722403,886241777.2468724
0.2,0.019099999999999975,65344.416084508746,895595187.6937162
0.2,0.019199999999999974,66723.67023449665,904997697.4079973
0.2,0.019299999999999973,68124.64442742089,914449306.3897161
0.2,0.019399999999999973,69547.565501897,923950014.6388723
0.2,0.019499999999999972,70992.66147492298,933499822.1554658
0.2,0.01959999999999997,72460.16154187924,943098728.9394971
0.2,0.01969999999999997,73950.29607652857,952746734.9909657
0.2,0.01979999999999997,75463.29663101622,962443840.3098719
0.2,0.01989999999999997,76999.39593586983,972190044.8962156
0.2,0.01999999999999997,78558.8278999995,981985348.7499965
0.201,0.015,24609.790985603693,544163426.9895787
0.201,0.015099999999999999,25272.64390525423,551443124.3906391
0.201,0.015199999999999998,25948.797730288938,558771191.8740987
0.201,0.015299999999999998,26638.429213695516,566147629.4399574
0.201,0.015399999999999997,27341.716275148057,573572437.0882152
0.201,0.015499999999999996,28058.83800100702,581045614.818872
0.201,0.015599999999999996,28789.97464431928,588567162.6319278
0.201,0.015699999999999995,29535.3076248181,596137080.5273829
0.201,0.015799999999999995,30295.019528923094,603755368.5052369
0.201,0.015899999999999994,31069.294109740305,611422026.56549
0.201,0.015999999999999993,31858.316287062138,619137054.7081422
0.201,0.016099999999999993,32662.272147367403,626900452.9331936
0.201,0.016199999999999992,33481.34894382128,634712221.2406439
0.201,0.01629999999999999,34315.73509627534,642572359.6304932
0.201,0.01639999999999999,35165.62019126756,650480868.1027417
0.201,0.01649999999999999,36031.19498202228,658437746.6573893
0.201,0.01659999999999999,36912.65138845024,666442995.2944359
0.201,0.01669999999999999,37810.18249714858,674496614.0138817
0.201,0.01679999999999999,38723.982561400786,682598602.8157264
0.201,0.016899999999999988,39654.24700117677,690748961.6999702
0.201,0.016999999999999987,40601.17240313284,698947690.6666132
0.201,0.017099999999999987,41564.956520611646,707194789.7156552
0.201,0.017199999999999986,42545.79827364226,715490258.8470963
0.201,0.017299999999999986,43543.89774894012,723834098.0609365
0.201,0.017399999999999985,44559.45619990709,732226307.3571757
0.201,0.017499999999999984,45592.67604663137,740666886.735814
0.201,0.017599999999999984,46643.76087588758,749155836.1968511
0.201,0.017699999999999983,47712.915441136734,757693155.7402877
0.201,0.017799999999999983,48800.34566252621,766278845.3661233
0.201,0.017899999999999982,49906.25862688978,774912905.0743579
0.201,0.01799999999999998,51030.8625877476,783595334.8649914
0.201,0.01809999999999998,52174.36696530623,792326134.7380241
0.201,0.01819999999999998,53336.982346458615,801105304.6934559
0.201,0.01829999999999998,54518.92048478408,809932844.731287
0.201,0.01839999999999998,55720.394300548316,818808754.8515168
0.201,0.01849999999999998,56941.61788070343,827733035.0541458
0.201,0.018599999999999978,58182.80647888793,836705685.339174
0.201,0.018699999999999977,59444.17651542667,845726705.7066011
0.201,0.018799999999999976,60725.94557733092,854796096.1564274
0.201,0.018899999999999976,62028.33241829833,863913856.6886528
0.201,0.018999999999999975,63351.55695871293,873079987.3032771
0.201,0.019099999999999975,64695.84028564515,882294488.0003005
0.201,0.019199999999999974,66061.40465285181,891557358.7797232
0.201,0.019299999999999973,67448.4734807761,900868599.6415448
0.201,0.019399999999999973,68857.2713565476,910228210.5857655
0.201,0.019499999999999972,70288.0240339823,919636191.612385
0.201,0.01959999999999997,71740.95843358256,929092542.721404
